t,x_true,x_3rd_order,x_7th_order
40.28056112224449,-0.6541864258898473,-0.8162608662426565,-0.6558758462088388
40.88176352705411,-0.7192350323313678,-0.7730087366647258,-0.7207921806735648
41.48296593186373,-0.7767699367727408,-0.7188692781190495,-0.7781043128791068
42.08416833667335,-0.8232522996312299,-0.6571830524924088,-0.8242733007458201
42.68537074148297,-0.8555087643857003,-0.5910628037337698,-0.8561388297445474
43.28657314629259,-0.8712453370838796,-0.5231171478879482,-0.8714330509466122
43.88777555110221,-0.8694500651056941,-0.4553300983212727,-0.8691795657073428
44.48897795591183,-0.8505794733750034,-0.38906223235768833,-0.84987363149059
45.09018036072145,-0.8164815492243098,-0.32512586894134954,-0.8153981517912802
45.69138276553107,-0.7700788884661025,-0.26389189168967686,-0.7687010503460994
46.292585170340686,-0.7148978399030808,-0.2053999587186349,-0.7133209353784592
46.893787575150306,-0.6545638516324598,-0.14945630230988632,-0.652882178491052
47.494989979959925,-0.5923771695837863,-0.09571344190032166,-0.5906731275199815
48.096192384769545,-0.5310400813968725,-0.043731937918281096,-0.5293776314067932
48.697394789579164,-0.47254925145489207,0.006972919776540645,-0.47097187468515866
49.29859719438878,-0.4182205179048667,0.056894983675265055,-0.41675268711350877
49.8997995991984,-0.3687937458973099,0.10650887269110888,-0.3674443488064161
50.50100200400802,-0.32456853075270065,0.15624364074047478,-0.3233348927780876
51.10220440881764,-0.28553672862601875,0.2064571985101889,-0.28440833270910604
51.70340681362726,-0.25149421553668655,0.25740809400969955,-0.2504556754155169
52.30460921843688,-0.22212642710281996,0.3092229720100888,-0.2211596359508847
52.9058116232465,-0.19706929393441164,0.36185966791853535,-0.19615480610167427
53.50701402805612,-0.17594998149773536,0.41506704636664915,-0.17506785251166634
54.10821643286574,-0.15841268645639997,0.4683454240615871,-0.1575428867082057
54.70941883767536,-0.14413383248544573,0.5209147357123924,-0.14325635526807964
55.31062124248498,-0.1328302390381963,0.5717005604280074,-0.13192500499153387
55.9118236472946,-0.1242628202207454,0.6193513274837057,-0.1233094732260867
56.513026052104216,-0.11823760937494393,0.6622991415274859,-0.1172152300495707
57.114228456913835,-0.1146052962353412,0.6988721381485248,-0.11349206615390352
57.71543086172345,-0.11326004361482822,0.7274553521123654,-0.11203288415790358
58.31663326653307,-0.11413804142583808,0.7466814895343761,-0.11277224275130358
58.91783567134269,-0.11721604841806103,0.7556178025098869,-0.11568489790803724
59.519038076152306,-0.12251002749456825,0.7539077848500804,-0.12078443862763102
60.120240480961925,-0.13007381560553297,0.7418318066205486,-0.1281220044952542
60.721442885771545,-0.13999768638080637,0.7202707145270368,-0.13778495247472564
61.322645290581164,-0.15240653176591198,0.6905824368035178,-0.14989513035675836
61.92384769539078,-0.16745723447869124,0.6544237112468769,-0.16460649856719461
62.5250501002004,-0.18533456955061198,0.6135584945073543,-0.18210127045090907
63.12625250501002,-0.2062446736984206,0.5696894877952258,-0.2025839984579943
63.72745490981964,-0.23040511497507765,0.5243352615024226,-0.22627227875263609
64.32865731462927,-0.258029609067355,0.47875950129341555,-0.2533824027547752
64.92985971943888,-0.2893058094349043,0.4339465183215923,-0.2841085666079841
65.5310621242485,-0.3243638855792841,0.3906109540510708,-0.3185931068013348
66.13226452905812,-0.36323412252649107,0.3492284069936324,-0.35688592547674214
66.73346693386775,-0.40579240501550046,0.3100756867698888,-0.39889202878684915
67.33466933867736,-0.4516950695172597,0.2732725667919579,-0.44430792606948366
67.93587174348698,-0.5003082655310797,0.23882033477888365,-0.49255126027666496
68.5370741482966,-0.5506428020918321,0.2066346665147038,-0.5426937442250653
69.13827655310622,-0.6013119072061079,0.1765721213450541,-0.5934137271701612
69.73947895791584,-0.6505344286356188,0.14845065627590626,-0.6429903784205921
70.34068136272546,-0.6962054439064881,0.12206477568953863,-0.6893622711873704
70.94188376753507,-0.7360468931256137,0.0971966450453268,-0.7302652905031977
71.5430861723447,-0.7678318670218536,0.07362347608248937,-0.7634467800098453
72.14428857715431,-0.7896518248574136,0.05112269656113374,-0.7869294573368238
72.74549098196394,-0.8001764089042436,0.029475089412499544,-0.7992765072500826
73.34669338677355,-0.798849075869835,0.008466627128352115,-0.7998011465315829
73.94789579158318,-0.7859728844626732,-0.012110560075909983,-0.7886718017193127
74.54909819639279,-0.7626666227155965,-0.03245773646736682,-0.7668885418934145
75.15030060120242,-0.7307026944256106,-0.05276939217896506,-0.7361371821798162
75.75150300601203,-0.6922659800293685,-0.07323313246371221,-0.6985568204611515
76.35270541082166,-0.6496875647182785,-0.09402938033829171,-0.656473363698847
76.95390781563127,-0.6052060707248416,-0.11533071187739426,-0.6121533710364127
77.55511022044088,-0.5607929494889284,-0.13730071683226439,-0.5676177577025706
78.15631262525051,-0.5180557523585744,-0.1600920544211581,-0.5245330419927984
78.75751503006012,-0.4782125941680127,-0.18384359403896852,-0.48417600639836234
79.35871743486975,-0.4421189581998939,-0.20867642557132585,-0.4474540773769924
79.95991983967936,-0.4103246984920092,-0.23468835284087383,-0.4149591292081755
80.56112224448898,-0.3831421694796334,-0.26194699077677225,-0.3870350458598492
81.1623246492986,-0.3607126457067769,-0.2904808264983494,-0.3638450315935419
81.76352705410822,-0.3430637363647118,-0.3202687174102686,-0.3454305932820134
82.36472945891784,-0.3301549157541203,-0.35122771592466595,-0.331758984854711
82.96593186372746,-0.3219111767758744,-0.3831996120394965,-0.3227585756901045
83.56713426853707,-0.31824585057232335,-0.415937444120777,-0.3183432503767565
84.1683366733467,-0.31907417896703355,-0.44909334663636014,-0.31842734300654635
84.76953907815631,-0.32431890513501843,-0.4822096862939768,-0.3229324183648613
85.37074148296594,-0.33390883155692336,-0.5147166379509089,-0.3317869688721362
85.97194388777555,-0.34777080442457564,-0.5459390572295217,-0.3449194536389291
86.57314629258518,-0.3658150336912897,-0.5751156890538479,-0.362244914072326
87.17434869739479,-0.3879139888715072,-0.6014326582693479,-0.3836450257153955
87.77555110220442,-0.41387440152698757,-0.6240712510591546,-0.4089412395496305
88.37675350701403,-0.4434031799636704,-0.6422671379776199,-0.43786183933035516
88.97795591182366,-0.4760689944700002,-0.6553750049226573,-0.4700042097190655
89.57915831663327,-0.5112634537279596,-0.6629298750588034,-0.5047955426897638
90.1803607214429,-0.5481675096445424,-0.6646952957863691,-0.5414577524607543
90.78156312625251,-0.5857325264524826,-0.6606898311066843,-0.5789850880407633
91.38276553106213,-0.6226862348524562,-0.651186911619693,-0.616144659597402
91.98396793587175,-0.6575735012533823,-0.6366880134306259,-0.651510214714183
92.58517034068137,-0.6888377727067339,-0.6178743289720475,-0.68353609205084
93.18637274549098,-0.7149411684184312,-0.5955455512183686,-0.7106708753090472
93.78757515030061,-0.7345105443202129,-0.570555554231759,-0.731500350135578
94.38877755511022,-0.7464875814761452,-0.5437536547992957,-0.7448989593530294
94.98997995991985,-0.7502554933866251,-0.5159374394372918,-0.7501628738897205
95.59118236472946,-0.7457168913477256,-0.48781992702468485,-0.7470983791324682
96.19238476953909,-0.7333065560441231,-0.4600110171617518,-0.7360469437791549
96.7935871743487,-0.7139365561627877,-0.43301123091937666,-0.7178420072980632
97.39478957915833,-0.688885677456161,-0.40721478521285437,-0.6937068104568115
97.99599198396794,-0.6596560265148564,-0.3829189013051059,-0.6651147720696141
98.59719438877757,-0.6278236649792299,-0.3603365468992637,-0.6336391052668722
99.19839679358718,-0.5949074875313217,-0.3396104746440818,-0.6008169236786878
99.7995991983968,-0.5622721648358546,-0.32082722479044096,-0.568045317676875
100.40080160320642,-0.5310708345610943,-0.3040297079311149,-0.5365170299008265
101.00200400801604,-0.5022245696445773,-0.2892285539669492,-0.5071939634652822
101.60320641282566,-0.47643008623224287,-0.27641144425335107,-0.4808106873422131
102.20440881763528,-0.4541853972553151,-0.2655507443136068,-0.4578977020827987
102.8056112224449,-0.43582399942598415,-0.2566097043128648,-0.43881469361530345
103.40681362725452,-0.42155013416687626,-0.24954703396994854,-0.42378629759738545
104.00801603206413,-0.4114708740772159,-0.24432050453454673,-0.41293450431722983
104.60921843687376,-0.40562193718967177,-0.2408894004887865,-0.4063062182648004
105.21042084168337,-0.4039862466938212,-0.23921624378301962,-0.4038928229719386
105.811623246493,-0.40650530304305804,-0.2392677236430655,-0.4056429879348228
